Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:08:01,0.23,3.13,-0.64
2021-10-26 0:08:02,-0.22,3.02,-0.66
2021-10-26 0:08:03,0.88,0.44,-6.39
2021-10-26 0:08:04,0.92,0.52,-6.68
2021-10-26 0:08:05,0.84,0.16,-5.32
2021-10-26 0:08:06,0.18,0.19,-5.62
2021-10-26 0:08:07,1.29,-1.38,-8.64
2021-10-26 0:08:08,0.85,-1.6,-7.55
2021-10-26 0:08:09,0.73,1.93,-1.57
2021-10-26 0:08:10,0.41,0.25,-5.5
2021-10-26 0:08:11,-0.06,3.59,-0.02
2021-10-26 0:08:12,0.69,-0.11,-7.49
2021-10-26 0:08:13,1.25,-1.25,-8.66
2021-10-26 0:08:14,0.42,0.36,-5.23
2021-10-26 0:08:15,0.05,3.36,-0.5
2021-10-26 0:08:16,1.31,-1.16,-8.46
2021-10-26 0:08:17,0.86,-1.45,-8.27
2021-10-26 0:08:18,0.88,-0.11,-7.31
2021-10-26 0:08:18,1.29,-1.28,-8.58
2021-10-26 0:08:19,-0.04,3.54,-0.09
2021-10-26 0:08:20,-0.23,3.48,-0.3
2021-10-26 0:08:21,0.07,1.41,-5.32
2021-10-26 0:08:22,1.67,-1.35,-9.09
2021-10-26 0:08:23,0.21,1.08,-3.77
2021-10-26 0:08:24,-0.3,3.65,-0.26
2021-10-26 0:08:25,1.27,-1.31,-8.87
2021-10-26 0:08:26,0.86,-1.64,-8.24
2021-10-26 0:08:27,0.67,-0.8,-6.11
2021-10-26 0:08:28,0.38,2.94,-0.72
2021-10-26 0:08:29,0.87,-1.73,-8.04
2021-10-26 0:08:30,0.64,-0.84,-6.4
2021-10-26 0:08:31,0.37,2.4,-2.53
2021-10-26 0:08:32,0.18,3.09,-0.41
2021-10-26 0:08:33,0.46,-0.78,-8.05
2021-10-26 0:08:34,0.74,-0.72,-6.16
2021-10-26 0:08:35,0.12,2.38,-2.82
